ZIP CODE,BeautyCount,BeautyPer1000,RetailPer1000,MedianIncome,YoungShare,SingleShare,OpportunityScore,RidesPer1000
60622,117,4.4174280752095445,28.467869818017068,136277,0.6786604243751416,0.6019028920939364,100.0,351.65849278210527
60602,17,23.876404494382022,226.12359550561797,126202,0.6404494382022472,0.4845505617977528,99.3118334215224,46893.94304197675
60642,36,3.059923501912452,25.66935826604335,143175,0.6724181895452613,0.6737781555461113,97.60434562431819,416.96366248852434
60614,146,4.125925507262759,23.6816820211383,136448,0.5390549935002543,0.6496637088113943,89.00431906254497,259.2368444682919
60647,114,2.9344384668846044,23.115138098792762,107060,0.616746891811887,0.5708512445622796,87.94106713776439,163.4459494018299
60606,41,14.137931034482758,97.24137931034483,128609,0.6441379310344828,0.8441379310344828,86.1715666510447,1400.6965218689356
60654,127,7.484677039132485,26.933050447901934,147357,0.6723833097595474,0.7662659123055162,85.73639882271628,394.29014330004424
60607,107,6.462913747281952,38.41507610533945,127732,0.6486470161874849,0.6659821212853346,84.80864416317408,409.85985907464527
60603,16,20.434227330779056,300.12771392081737,133545,0.45338441890166026,0.6538952745849298,83.98705783421131,31706.468074284167
60661,39,5.007704160246533,25.29532614278377,125741,0.7190549563430919,0.783256291730868,82.38375840534027,594.4055345442094
60657,161,3.9733464955577493,17.15202369200395,110939,0.5802073050345509,0.703923988153998,78.81647001570468,438.77358409934914
60618,103,2.7078184972921817,22.503811977496188,106384,0.5144592249855408,0.447421000052579,77.03412482029162,111.0843815560152
60605,67,3.41279543602282,15.637734311328442,123922,0.5794621026894865,0.7035961695191524,74.07322621051817,438.14723377681815
60611,126,5.098324836125273,28.526341344986648,125675,0.4836934531035041,0.6915513474144209,70.37978842802023,513.4971257331053
60601,51,5.295400269961582,28.657460284497976,121458,0.5694112760876336,0.65548748831897,66.97329621455876,0.0
60613,85,2.896772654466142,16.426404934737416,95572,0.5637801179156868,0.6867736768564905,65.95230907748473,210.9910650755145
60610,96,3.3710232460144676,13.273404031181967,105226,0.524018540627853,0.7558466184423064,62.31576705321012,232.77246900394596
60640,68,1.7966603255125766,15.2716127668569,73254,0.49873176918199114,0.7020978651447897,56.258077024147,266.4238178505775
60625,90,2.828854314002829,18.85902876001886,85703,0.473990256168474,0.46713814238566714,54.92540044023861,214.65537029893463
60608,72,2.3491027732463294,25.187601957585642,73366,0.47089722675367046,0.48499184339314844,53.71229072199202,173.78592261463385
60609,58,2.5345219367243486,54.09893375284041,58896,0.39237021499737806,0.37266212200664217,52.64176558747484,0.0
60604,17,43.70179948586119,300.77120822622106,81658,0.38046272493573263,0.519280205655527,48.49619529435735,16620.948374675885
60630,44,1.9715911636868757,15.548684859076042,98860,0.34216068467984045,0.35748532508849756,43.71888681654288,166.07575185341014
60616,76,2.9660851578659795,20.72356866877415,73819,0.43515591460796943,0.55684346095305,41.506891254145465,365.2094227436693
60641,92,3.5469195774539286,17.04063536124605,83758,0.41452694887809394,0.38349140257537206,39.91135642821273,134.4966468491798
60655,21,1.8927444794952681,10.365029292474087,114723,0.3039206849932402,0.36710229833258223,38.03579379626733,0.0
